layer_id,layer_name,operating_model,operating_model_name,customer_responsibility,customer_label,provider_responsibility,provider_label
L1,AI Business & Usage,AI-SaaS,AI-Enabled SaaS,shared,Shared,provider-managed,Provider
L1,AI Business & Usage,AI-PaaS,AI Platform as a Service,customer-owned,Customer,N/A,N/A
L1,AI Business & Usage,Agent-PaaS,Agentic Platform as a Service,customer-owned,Customer,N/A,N/A
L1,AI Business & Usage,IaaS,Infrastructure as a Service,customer-owned,Customer,N/A,N/A
L2,AI Information,AI-SaaS,AI-Enabled SaaS,shared,Shared,provider-managed,Provider
L2,AI Information,AI-PaaS,AI Platform as a Service,shared,Shared,shared,Shared
L2,AI Information,Agent-PaaS,Agentic Platform as a Service,shared,Shared,shared,Shared
L2,AI Information,IaaS,Infrastructure as a Service,customer-owned,Customer,N/A,N/A
L3,AI Application,AI-SaaS,AI-Enabled SaaS,N/A,N/A,provider-managed,Provider
L3,AI Application,AI-PaaS,AI Platform as a Service,customer-owned,Customer,shared,Shared
L3,AI Application,Agent-PaaS,Agentic Platform as a Service,shared,Shared,provider-managed,Provider
L3,AI Application,IaaS,Infrastructure as a Service,customer-owned,Customer,N/A,N/A
L4,AI Platform,AI-SaaS,AI-Enabled SaaS,N/A,N/A,provider-managed,Provider
L4,AI Platform,AI-PaaS,AI Platform as a Service,N/A,N/A,provider-managed,Provider
L4,AI Platform,Agent-PaaS,Agentic Platform as a Service,N/A,N/A,provider-managed,Provider
L4,AI Platform,IaaS,Infrastructure as a Service,customer-owned,Customer,shared,Shared
L5,AI Model Provider,AI-SaaS,AI-Enabled SaaS,N/A,N/A,provider-managed,Provider
L5,AI Model Provider,AI-PaaS,AI Platform as a Service,model-evaluation,Model evaluation,provider-managed,Provider
L5,AI Model Provider,Agent-PaaS,Agentic Platform as a Service,shared,Shared,shared,Shared
L5,AI Model Provider,IaaS,Infrastructure as a Service,customer-owned,Customer,N/A,N/A
