CRE 0,CRE 1,CRE 2,CRE 3,CRE 4,CRE 5,CoSAI AI Shared Responsibility Framework|name,CoSAI AI Shared Responsibility Framework|id,CoSAI AI Shared Responsibility Framework|hyperlink
,225-553|Organizational AI security controls,,,,,CoSAI AI Shared Responsibility Framework,srf.framework.cosai-srf,https://aisharedresponsibility.com/framework/
,225-553|Organizational AI security controls,,,,,L1 AI Business & Usage,srf.layer.L1,https://aisharedresponsibility.com/framework/#L1
,663-200|Technical AI security controls,,,,,L2 AI Information,srf.layer.L2,https://aisharedresponsibility.com/framework/#L2
,663-200|Technical AI security controls,,,,,L3 AI Application,srf.layer.L3,https://aisharedresponsibility.com/framework/#L3
,663-200|Technical AI security controls,,,,,L4 AI Platform,srf.layer.L4,https://aisharedresponsibility.com/framework/#L4
,663-200|Technical AI security controls,,,,,L5 AI Model Provider,srf.layer.L5,https://aisharedresponsibility.com/framework/#L5
,803-457|Protection against AI-Specfic Threats,,,,,AI-Enabled SaaS,srf.opmodel.ai-saas,https://aisharedresponsibility.com/operating-models/#AI-SaaS
,803-457|Protection against AI-Specfic Threats,,,,,AI Platform as a Service,srf.opmodel.ai-paas,https://aisharedresponsibility.com/operating-models/#AI-PaaS
,803-457|Protection against AI-Specfic Threats,,,,,Agentic Platform as a Service,srf.opmodel.agent-paas,https://aisharedresponsibility.com/operating-models/#Agent-PaaS
,803-457|Protection against AI-Specfic Threats,,,,,Infrastructure as a Service,srf.opmodel.iaas,https://aisharedresponsibility.com/operating-models/#IaaS
,663-200|Technical AI security controls,,,,,Agentic Platform & Framework Providers,srf.role.agentic-platform-provider,https://aisharedresponsibility.com/personas/#agentic-platform-provider
,663-200|Technical AI security controls,,,,,Application Developer,srf.role.application-developer,https://aisharedresponsibility.com/personas/#application-developer
,663-200|Technical AI security controls,,,,,Data Provider,srf.role.data-provider,https://aisharedresponsibility.com/personas/#data-provider
,225-553|Organizational AI security controls,,,,,AI System Users,srf.role.ai-system-users,https://aisharedresponsibility.com/personas/#ai-system-users
,225-553|Organizational AI security controls,,,,,AI System Governance,srf.role.ai-system-governance,https://aisharedresponsibility.com/personas/#ai-system-governance
,663-200|Technical AI security controls,,,,,Model Provider,srf.role.model-provider,https://aisharedresponsibility.com/personas/#model-provider
,663-200|Technical AI security controls,,,,,AI Model Serving,srf.role.ai-model-serving,https://aisharedresponsibility.com/personas/#ai-model-serving
,663-200|Technical AI security controls,,,,,AI Platform Provider,srf.role.ai-platform-provider,https://aisharedresponsibility.com/personas/#ai-platform-provider
,,,,,,AI-Enabled SaaS responsibility for L1 AI Business & Usage,srf.opmodel.ai-saas/assigns_responsibility/srf.layer.L1,https://aisharedresponsibility.com/operating-models/#AI-SaaS
,,,,,,AI Platform as a Service responsibility for L1 AI Business & Usage,srf.opmodel.ai-paas/assigns_responsibility/srf.layer.L1,https://aisharedresponsibility.com/operating-models/#AI-PaaS
,,,,,,Agentic Platform as a Service responsibility for L1 AI Business & Usage,srf.opmodel.agent-paas/assigns_responsibility/srf.layer.L1,https://aisharedresponsibility.com/operating-models/#Agent-PaaS
,,,,,,Infrastructure as a Service responsibility for L1 AI Business & Usage,srf.opmodel.iaas/assigns_responsibility/srf.layer.L1,https://aisharedresponsibility.com/operating-models/#IaaS
,,,,,,AI-Enabled SaaS responsibility for L2 AI Information,srf.opmodel.ai-saas/assigns_responsibility/srf.layer.L2,https://aisharedresponsibility.com/operating-models/#AI-SaaS
,,,,,,AI Platform as a Service responsibility for L2 AI Information,srf.opmodel.ai-paas/assigns_responsibility/srf.layer.L2,https://aisharedresponsibility.com/operating-models/#AI-PaaS
,,,,,,Agentic Platform as a Service responsibility for L2 AI Information,srf.opmodel.agent-paas/assigns_responsibility/srf.layer.L2,https://aisharedresponsibility.com/operating-models/#Agent-PaaS
